Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
KAROL G - Si Antes Te Hubiera Conocido,90,15.0,5,,41120665,1657024247
Ruth B. - Dandelions,173,,34,,11383604,1653359488
Sabrina Carpenter - Please Please Please,73,19.0,1,(x2),85283851,1639634583
HUNTR/X - Golden,45,30.0,1,(x11),56009949,1638407044
Lil Nas X - INDUSTRY BABY,81,40.0,2,(x8),53085371,1632867564
Olivia Rodrigo - good 4 u,78,17.0,1,(x7),84131760,1618703681
Bad Bunny - Me Porto Bonito,82,27.0,2,(x1),39839157,1606662164
Adele - Easy On Me,114,22.0,1,(x7),84952932,1602558038
Macklemore & Ryan Lewis - Can't Hold Us,181,,86,,11440256,1596805732
One Direction - Night Changes,185,1.0,8,,32106780,1590519143
Olivia Rodrigo - drivers license,98,16.0,1,(x10),80764045,1590283541
Dua Lipa - Levitating,116,12.0,4,,30358414,1576155950
Ariana Grande - 7 rings,143,16.0,1,(x10),71467874,1547429518
XXXTENTACION - SAD!,163,12.0,1,(x2),38010231,1531066913
SZA - Snooze,125,,27,,17296437,1527001258
XXXTENTACION - Jocelyn Flores,217,2.0,7,,25442646,1511632218
Taylor Swift - Anti-Hero,79,12.0,1,(x3),82935273,1501835240
Bad Bunny - TitÃ­ Me PreguntÃ³,74,27.0,4,,39762842,1501619658
Lana Del Rey - Summertime Sadness,166,,83,,10683039,1496674468
The Weeknd - Timeless,83,6.0,3,(x1),44559328,1488023574
Queen - Bohemian Rhapsody - Remastered 2011,224,,11,,18440196,1484719835
Justin Bieber - Ghost,137,,11,,17091238,1479820285
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",68,22.0,1,(x9),54841779,1466812232
Bad Bunny - BAILE INoLVIDABLE,69,14.0,2,(x3),56927742,1465022951
French Montana - Unforgettable,140,15.0,3,(x1),25652839,1464338423
Kendrick Lamar - luther,72,19.0,2,(x2),62994435,1450216281
Linkin Park - In the End,141,,22,,15373140,1446920670
Drake - God's Plan,104,21.0,1,(x11),54891573,1446481457
Shaboozey - A Bar Song (Tipsy),76,13.0,6,,45881416,1440720347
Lil Nas X - MONTERO (Call Me By Your Name),73,22.0,1,(x5),55582612,1435081319
Radiohead - Creep,126,,27,,15671297,1426372055
DJ Snake - Let Me Love You,123,22.0,2,(x1),32792765,1424901292
Travis Scott - SICKO MODE,147,21.0,2,(x1),33399542,1423300401
Mitski - My Love Mine All Mine,76,18.0,3,(x2),31544921,1396357979
SAINt JHN - Roses - Imanbek Remix,97,23.0,3,(x10),35360782,1393342289
BTS - Dynamite,113,17.0,2,(x2),39904687,1387320531
Brenda Lee - Rockin' Around The Christmas Tree,64,23.0,3,(x7),82406485,1382692435
Maroon 5 - Memories,127,15.0,2,(x1),31572344,1378872769
J. Cole - No Role Modelz,227,,64,,11091492,1369389336
24kGoldn - Mood,91,27.0,1,(x5),41500977,1364348925
J Balvin - LA CANCIÃN,148,,11,,28210002,1361566110
Bad Bunny - DÃKITI,105,17.0,1,(x5),53344093,1360920532
Fleetwood Mac - Dreams - 2004 Remaster,149,,20,,15475652,1347832374
Ed Sheeran - Bad Habits,78,20.0,3,(x4),38983802,1345540456
Tears For Fears - Everybody Wants To Rule The World,152,,51,,13103210,1343411524
Sam Smith - Unholy,57,22.0,1,(x7),53478156,1326886078
Doja Cat - Kiss Me More,80,20.0,3,(x4),37723231,1319804269
Marshmello - Happier,117,22.0,2,(x1),28685390,1314561043
Conan Gray - Heather,159,,12,,18431861,1308582983
Camila Cabello - Havana,114,25.0,1,(x1),33129706,1305095150
Rema - Calm Down,82,3.0,9,,25338316,1295568954
Taylor Swift - The Fate of Ophelia,30,23.0,1,(x12),128896137,1295513319
John Legend - All of Me,310,15.0,3,(x2),8733114,1278923495
Feid - LUNA,77,4.0,9,,28125311,1275818674
Ed Sheeran - Thinking out Loud,241,22.0,1,(x2),12966533,1256739061
d4vd - Romantic Homicide,114,,17,,17688935,1254395479
Sabrina Carpenter - Taste,61,13.0,3,(x3),56201169,1253909442
Roddy Ricch - The Box,80,18.0,1,(x1),48937592,1251184105
Arctic Monkeys - Do I Wanna Know?,234,,38,,9519123,1250364942
Ed Sheeran - Shivers,90,23.0,4,,31926382,1240024967
Metro Boomin - Creepin',68,15.0,2,(x1),36446537,1239540881
Bobby Helms - Jingle Bell Rock,64,19.0,4,,72625966,1237235031
Ed Sheeran - I Don't Care,90,17.0,1,(x6),58370367,1236890080
Post Malone - I Had Some Help (Feat. Morgan Wallen),69,8.0,3,(x1),66560055,1233033416
Imagine Dragons - Demons,244,6.0,8,,11240856,1232145944
Post Malone - Better Now,114,11.0,1,(x6),40788286,1232129792
Bad Bunny - NUEVAYoL,69,8.0,3,(x2),52228763,1226447566
Ariana Grande - Santa Tell Me,73,18.0,3,(x1),60868135,1225693899
Calvin Harris - One Kiss,111,14.0,2,(x4),30380257,1225387792
The Weeknd - The Hills,189,11.0,3,(x1),14363491,1225278679
DaBaby - ROCKSTAR,72,22.0,1,(x7),41679959,1215705911
Justin Bieber - Peaches,77,14.0,1,(x3),52357127,1213245560
Travis Scott - FE!N,84,1.0,5,,36391896,1206111064
Imagine Dragons - Thunder,143,3.0,8,,21076623,1201237576
Bad Bunny - Ojitos Lindos,72,16.0,3,(x2),38207348,1201109544
David Kushner - Daylight,72,11.0,5,,32418390,1196244710
Halsey - Without Me,121,16.0,4,,27576694,1192139465
Don Omar - Danza Kuduro,122,,80,,11832337,1176064768
Lewis Capaldi - Before You Go,122,,19,,16267082,1171062417
Justin Bieber - Sorry,111,21.0,1,(x8),34283993,1167627790
Artemas - i like the way you kiss me,49,9.0,1,(x2),62659568,1165824835
Eminem - Mockingbird,103,,24,,17746120,1164496527
Dua Lipa - New Rules,104,23.0,2,(x3),26215788,1159764804
Noah Kahan - Stick Season,70,8.0,6,,28868638,1155569236
Kendrick Lamar - HUMBLE.,110,12.0,1,(x1),41269524,1154154789
Travis Scott - HIGHEST IN THE ROOM,112,7.0,1,(x1),48161108,1152019953
Justin Bieber - Love Yourself,126,22.0,1,(x3),28218558,1141316734
Hotel Ugly - Shut up My Moms Calling,119,,78,,12221474,1125947705
Michael BublÃ© - It's Beginning to Look a Lot like Christmas,72,13.0,6,,49104030,1124644070
d4vd - Here With Me,94,,14,,21588435,1118556679
Tommy Richman - MILLION DOLLAR BABY,46,11.0,1,(x2),82235497,1113150959
Doja Cat - Paint The Town Red,51,16.0,1,(x4),54379342,1112941427
Doja Cat - Woman,77,7.0,6,,29648304,1111134654
"Ariana Grande - thank u, next",87,17.0,1,(x8),59975503,1109308699
Bad Bunny - Yonaguni,83,9.0,3,(x3),45173496,1098151668
MÃ¥neskin - Beggin',66,15.0,1,(x4),52160401,1094371409
Farruko - Pepas,70,16.0,4,,30119703,1093539197
Luis Fonsi - Despacito - Remix,64,19.0,1,(x14),54729818,1092396262
Sabrina Carpenter - Nonsense,103,,17,,20784498,1089354127
Maroon 5 - Girls Like You,100,14.0,2,(x1),29296811,1086166262
Linkin Park - Numb,108,,24,,19689324,1084123644
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",71,7.0,3,(x1),37492095,1082541247
Frank Ocean - Pink + White,108,,67,,13339571,1079281236
Lil Uzi Vert - XO TOUR Llif3,121,2.0,10,,19373632,1077596021
Eslabon Armado - Ella Baila Sola,46,18.0,1,(x9),56584925,1076299892
Olivia Rodrigo - deja vu,90,8.0,3,(x1),45060633,1075204465
Bad Bunny - EoO,69,5.0,4,,41160736,1070765344
KAROL G - QLONA,63,7.0,5,,29546576,1067701383
Billie Eilish - when the party's over,122,1.0,9,,22448428,1064339831
W Sound - La Plena - W Sound 05,61,14.0,5,,26563244,1063117666
Imagine Dragons - Bones,99,,26,,16322618,1058534428
Rihanna - We Found Love,129,,59,,12488268,1056395408
XXXTENTACION - Moonlight,134,2.0,2,(x1),27497557,1055535621
Olivia Rodrigo - traitor,86,4.0,7,,32922131,1055045005
Steve Lacy - Dark Red,128,,66,,10059878,1040968870
Olivia Dean - Man I Need,36,28.0,3,(x5),35232259,1038705810
Zara Larsson - Lush Life,117,5.0,7,,28822758,1038409017
Lola Young - Messy,63,3.0,7,,33432430,1036552784
Avicii - Wake Me Up,216,13.0,3,(x2),20549219,1035548559
Lauv - I Like Me Better,163,,29,,12704967,1030373108
Ravyn Lenae - Love Me Not,58,5.0,8,,23854606,1026084138
Olivia Rodrigo - vampire,54,14.0,1,(x1),52036833,1019468328
Harry Styles - Adore You,109,1.0,6,,25393341,1013643460
Bad Bunny - Efecto,59,14.0,6,,26720466,1012068903
Lil Nas X - Old Town Road - Remix,68,19.0,2,(x4),36616698,1010618722
Powfu - death bed,79,17.0,4,,30329811,1008962364
Arizona Zervas - ROXANNE,70,16.0,2,(x5),34104838,1006176752
Trevor Daniel - Falling,76,12.0,5,,29862206,1004734702
KAROL G - Tusa,73,14.0,3,(x2),41434019,994146025
Taylor Swift - Blank Space,109,,27,,16946544,992868409
Andy Williams - It's the Most Wonderful Time of the Year,61,7.0,7,,52250369,992067112
Post Malone - Congratulations,128,,20,,15632229,990710095
Coldplay - Sparks,88,,30,,16709978,989906840
